timestamp,messageType,latencyMs,statusCode,roomId
1760133168172,TEXT,7,200,3
1760133168172,TEXT,7,200,18
1760133168173,TEXT,6,200,3
1760133168172,TEXT,7,200,16
1760133168175,TEXT,5,200,18
1760133168174,TEXT,5,200,3
1760133168172,TEXT,7,200,19
1760133168172,TEXT,7,200,16
1760133168175,TEXT,5,200,3
1760133168173,TEXT,6,200,16
1760133168175,TEXT,4,200,3
1760133168173,TEXT,6,200,16
1760133168174,TEXT,5,200,16
1760133168175,TEXT,5,200,16
1760133168175,TEXT,5,200,16
1760133168175,TEXT,5,200,16
1760133168175,TEXT,5,200,16
1760133168175,TEXT,5,200,16
1760133168175,JOIN,4,200,16
1760133168172,TEXT,9,200,12
1760133168173,TEXT,8,200,12
1760133168173,TEXT,8,200,12
1760133168172,TEXT,9,200,9
1760133168174,TEXT,7,200,12
1760133168172,TEXT,9,200,13
1760133168172,TEXT,9,200,9
1760133168173,TEXT,8,200,13
1760133168172,TEXT,9,200,9
1760133168172,TEXT,9,200,5
1760133168174,TEXT,7,200,13
1760133168172,TEXT,9,200,9
1760133168175,TEXT,6,200,13
1760133168173,TEXT,8,200,9
1760133168175,TEXT,6,200,13
1760133168173,TEXT,8,200,9
1760133168174,TEXT,7,200,9
1760133168171,TEXT,10,200,10
1760133168171,TEXT,10,200,4
1760133168173,TEXT,9,200,10
1760133168172,TEXT,10,200,4
1760133168174,TEXT,7,200,9
1760133168175,JOIN,7,200,9
1760133168173,TEXT,8,200,4
1760133168175,TEXT,7,200,9
1760133168173,TEXT,8,200,4
1760133168173,TEXT,8,200,4
1760133168175,TEXT,7,200,9
1760133168175,TEXT,7,200,4
1760133168175,TEXT,6,200,9
1760133168175,TEXT,6,200,4
1760133168173,TEXT,9,200,8
1760133168173,TEXT,9,200,10
1760133168173,TEXT,9,200,8
1760133168173,TEXT,9,200,10
1760133168173,TEXT,8,200,8
1760133168173,TEXT,9,200,10
1760133168173,TEXT,9,200,10
1760133168174,TEXT,7,200,8
1760133168173,TEXT,8,200,10
1760133168173,TEXT,8,200,10
1760133168175,TEXT,7,200,8
1760133168174,TEXT,8,200,10
1760133168175,TEXT,7,200,10
1760133168175,TEXT,6,200,8
1760133168175,TEXT,7,200,10
1760133168175,TEXT,7,200,10
1760133168175,TEXT,7,200,10
1760133168175,LEAVE,7,200,10
1760133168176,TEXT,6,200,10
1760133168176,LEAVE,6,200,10
1760133168171,TEXT,12,200,1
1760133168171,TEXT,12,200,1
1760133168173,TEXT,11,200,11
1760133168175,JOIN,10,200,11
1760133168175,TEXT,10,200,11
1760133168175,LEAVE,10,200,11
1760133168175,TEXT,10,200,11
1760133168175,TEXT,10,200,11
1760133168175,TEXT,10,200,11
1760133168172,LEAVE,15,200,2
1760133168176,TEXT,11,200,20
1760133168172,TEXT,15,200,2
1760133168173,TEXT,14,200,2
1760133168175,TEXT,13,200,2
1760133168172,TEXT,16,200,5
1760133168172,TEXT,16,200,5
1760133168172,TEXT,16,200,5
1760133168175,TEXT,13,200,5
1760133168176,TEXT,12,200,5
1760133168176,TEXT,12,200,5
1760133168176,TEXT,12,200,4
1760133168172,TEXT,16,200,19
1760133168172,TEXT,16,200,19
1760133168176,TEXT,13,200,8
1760133168173,TEXT,15,200,19
1760133168173,TEXT,15,200,19
1760133168175,TEXT,13,200,19
1760133168176,TEXT,13,200,19
1760133168176,LEAVE,13,200,19
1760133168176,TEXT,12,200,19
1760133168175,TEXT,13,200,16
1760133168176,TEXT,13,200,16
1760133168176,TEXT,13,200,16
1760133168176,TEXT,13,200,18
1760133168176,TEXT,13,200,8
1760133168176,TEXT,13,200,18
1760133168175,JOIN,14,200,12
1760133168176,TEXT,13,200,18
1760133168175,TEXT,14,200,11
1760133168176,TEXT,13,200,18
1760133168175,TEXT,14,200,9
1760133168173,TEXT,16,200,6
1760133168174,JOIN,15,200,7
1760133168173,LEAVE,16,200,15
1760133168175,TEXT,14,200,12
1760133168173,LEAVE,16,200,6
1760133168173,TEXT,16,200,15
1760133168175,TEXT,14,200,12
1760133168175,TEXT,14,200,7
1760133168175,TEXT,14,200,12
1760133168175,TEXT,14,200,7
1760133168174,TEXT,15,200,6
1760133168175,TEXT,14,200,12
1760133168177,TEXT,13,200,20
1760133168176,TEXT,13,200,12
1760133168176,TEXT,13,200,7
